epoch,content_loss,feature_loss,style_loss,val_psnr,val_ssim
0,0.027439000084996223,9843.3095703125,0.9958547949790955,30.236740112304688,0.7645772099494934
1,0.027522321790456772,10373.3779296875,1.664681315422058,30.00335121154785,0.7571772336959839
2,0.028194118291139603,10859.908203125,0.6218608617782593,30.09878158569336,0.7591378688812256
3,0.030140435323119164,11157.8134765625,0.649613082408905,30.12651252746582,0.7682005763053894
4,0.024594862014055252,8890.3232421875,0.36860543489456177,30.752845764160156,0.7699902653694153
5,0.02349044568836689,9025.693359375,0.861251175403595,29.294527053833008,0.7484880685806274
6,0.03615456819534302,12965.2099609375,0.7760597467422485,29.6585693359375,0.7471969127655029
7,0.031845007091760635,10394.7314453125,0.8914206027984619,29.589853286743164,0.7502599954605103
8,0.0317375510931015,11112.98046875,0.7480053305625916,28.435630798339844,0.7303404211997986
9,0.02818969637155533,8989.8447265625,0.7173795700073242,27.696998596191406,0.7140418887138367
10,0.03600993752479553,11919.59375,1.2244675159454346,29.44133758544922,0.7481365203857422
11,0.04493827372789383,14876.9833984375,1.196960687637329,29.443374633789062,0.7311978936195374
12,0.026114827021956444,8273.6572265625,0.653499186038971,29.764236450195312,0.7391281127929688
13,0.024195808917284012,8627.982421875,1.2623167037963867,28.674924850463867,0.7147311568260193
14,0.0361720472574234,11342.2529296875,0.5049415230751038,28.666519165039062,0.7167910933494568
15,0.030361222103238106,10328.45703125,0.7707427144050598,27.995620727539062,0.6972216963768005
16,0.033059146255254745,10179.01171875,0.5746608972549438,28.88589859008789,0.7078716158866882
17,0.03288344293832779,10966.0576171875,0.45687156915664673,27.702781677246094,0.676335334777832
18,0.03738344833254814,11293.1552734375,0.8258267045021057,28.755565643310547,0.6874695420265198
19,0.03369602560997009,9655.044921875,0.7077487111091614,28.264589309692383,0.6947932839393616
21,3.282717807451263e-05,8.87924575805664,9.524888611167626e-08,28.2618350982666,0.6921966671943665
21,2.2030249965609983e-05,6413.2802734375,5.4069234465714544e-05,27.645780563354492,0.6838977932929993
22,2.0757202946697362e-05,6029.2216796875,4.7417266614502296e-05,27.724702835083008,0.6891636252403259
23,3.6890160117764026e-05,9067.2763671875,8.912814519135281e-05,28.25486183166504,0.6925224661827087
24,2.843880793079734e-05,7069.4638671875,5.764889283454977e-05,28.109283447265625,0.6815590262413025
25,4.583724876283668e-05,8262.6318359375,8.072318451013416e-05,28.208633422851562,0.6847934126853943
26,2.9607352189486846e-05,7403.82373046875,6.679479702142999e-05,27.308273315429688,0.6771935820579529
27,4.203962816973217e-05,8162.794921875,9.754153870744631e-05,27.398332595825195,0.672193706035614
28,3.2761061447672546e-05,6937.5283203125,7.043586811050773e-05,28.00853729248047,0.6727754473686218
29,3.749517418327741e-05,7525.67529296875,6.760983524145558e-05,27.75733184814453,0.6798995137214661
30,3.076338180107996e-05,6246.35400390625,4.7646532038925216e-05,28.303892135620117,0.6797732710838318
31,4.6482582547469065e-05,8823.3896484375,8.35716855362989e-05,27.688669204711914,0.678397536277771
32,3.74803421436809e-05,7250.85009765625,8.017106301849708e-05,27.31857681274414,0.6570510864257812
33,4.2135274270549417e-05,8660.5732421875,8.701751357875764e-05,26.752225875854492,0.6477344036102295
34,3.2930423913057894e-05,5835.67822265625,4.703989907284267e-05,27.341976165771484,0.6485340595245361
35,2.6743651687866077e-05,4771.56689453125,4.387026638141833e-05,28.115169525146484,0.6676794290542603
36,4.115679257665761e-05,8483.7802734375,8.027722651604563e-05,27.251651763916016,0.6598736643791199
37,2.484576907590963e-05,4966.4375,3.229238427593373e-05,26.997304916381836,0.665128767490387
38,3.2974727218970656e-05,6903.98828125,7.233106589410454e-05,27.546436309814453,0.6594385504722595
39,2.9209193598944694e-05,6803.34521484375,5.1516068197088316e-05,27.790292739868164,0.6677529215812683
